year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,6,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",90.00,26.00,8.63,3.24,4.41,0.00,9.72,4.00,0.00,1884.00,561.00,223.00,282.00,0.00,818.00
2025,6,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",5.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,124.00
2025,6,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",69.00,23.00,7.21,1.82,8.65,0.00,5.32,2.00,0.00,1698.00,981.00,54.00,294.00,0.00,369.00
2025,6,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",155.00,43.00,12.78,2.69,10.34,0.00,17.19,9.00,0.00,2877.00,827.00,198.00,517.00,0.00,1335.00
2025,6,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",86.00,29.00,9.32,0.00,4.07,0.00,15.61,4.00,0.00,1934.00,638.00,0.00,194.00,0.00,1102.00
2025,6,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2695.00,712.00,130.21,43.36,146.40,0.80,391.22,96.00,11.00,69171.00,19049.00,5308.00,10868.00,33.00,33913.00
2025,6,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",90.00,24.00,9.88,1.39,8.14,0.00,4.59,4.00,1.00,1610.00,537.00,110.00,455.00,0.00,508.00
2025,6,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",76.00,29.00,8.51,0.94,10.77,0.00,8.77,4.00,0.00,2132.00,607.00,284.00,731.00,0.00,510.00
2025,6,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",99.00,24.00,4.33,0.81,4.98,0.00,13.87,7.00,0.00,1767.00,330.00,111.00,161.00,0.00,1165.00
2025,6,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",137.00,53.00,17.64,0.36,16.58,0.00,18.42,11.00,0.00,4314.00,1095.00,9.00,1888.00,0.00,1322.00
2025,6,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",40.00,4.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,174.00,145.00,0.00,0.00,0.00,29.00
2025,6,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",55.00,23.00,7.04,2.16,9.04,0.00,4.76,2.00,0.00,1781.00,248.00,329.00,890.00,0.00,314.00
2025,6,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",249.00,55.00,16.46,0.07,19.83,0.00,18.63,17.00,1.00,5273.00,1526.00,6.00,1713.00,0.00,2028.00
2025,6,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",90.00,29.00,9.85,2.44,4.61,0.00,12.09,4.00,1.00,2065.00,519.00,234.00,496.00,0.00,816.00
2025,6,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",69.00,27.00,9.29,1.43,4.51,0.00,11.76,1.00,0.00,1316.00,439.00,58.00,231.00,0.00,588.00
2025,6,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Patrick Leahy Burlington International",186.00,58.00,18.50,0.77,16.09,0.00,22.65,11.00,0.00,5124.00,2159.00,485.00,831.00,0.00,1649.00
2025,6,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",233.00,61.00,21.01,0.92,11.77,0.00,27.30,17.00,0.00,4959.00,2310.00,82.00,460.00,0.00,2107.00
2025,6,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",88.00,32.00,5.95,1.66,8.12,0.00,16.28,4.00,0.00,3722.00,948.00,393.00,467.00,0.00,1914.00
2025,6,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",198.00,61.00,20.07,2.84,13.00,0.00,25.09,4.00,0.00,4392.00,1468.00,238.00,622.00,0.00,2064.00
2025,6,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",167.00,49.00,16.17,3.39,10.69,0.00,18.76,11.00,1.00,4819.00,2734.00,148.00,587.00,0.00,1350.00
2025,6,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",140.00,40.00,15.97,0.99,10.62,0.00,12.42,8.00,0.00,3712.00,1452.00,80.00,842.00,0.00,1338.00
2025,6,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",82.00,22.00,11.58,0.00,5.70,0.00,4.73,3.00,1.00,1353.00,723.00,0.00,272.00,0.00,358.00
2025,6,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",328.00,110.00,38.77,0.11,25.77,0.00,45.35,15.00,1.00,9066.00,3639.00,29.00,1649.00,0.00,3749.00
2025,6,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",228.00,72.00,14.22,0.58,26.66,0.00,30.54,25.00,0.00,7172.00,1367.00,40.00,2102.00,0.00,3663.00
2025,6,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",69.00,21.00,9.30,2.13,5.58,0.00,3.99,4.00,0.00,1264.00,527.00,162.00,253.00,0.00,322.00
2025,6,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",95.00,29.00,10.58,2.63,6.68,0.00,9.11,3.00,0.00,3230.00,866.00,1121.00,341.00,0.00,902.00
2025,6,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",86.00,28.00,14.64,1.04,5.64,0.00,6.67,5.00,0.00,1952.00,1096.00,47.00,286.00,0.00,523.00
2025,6,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",563.00,187.00,47.54,7.18,42.21,0.00,90.08,24.00,2.00,19005.00,5739.00,592.00,4339.00,0.00,8335.00
2025,6,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",60.00,15.00,5.09,0.02,3.85,0.00,6.04,0.00,0.00,1112.00,474.00,5.00,135.00,0.00,498.00
2025,6,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",26.00,14.00,3.50,0.00,3.07,0.00,7.43,4.00,0.00,1741.00,323.00,0.00,359.00,0.00,1059.00
2025,6,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",168.00,65.00,7.99,2.81,36.87,0.00,17.33,10.00,0.00,5307.00,734.00,212.00,2745.00,0.00,1616.00
2025,6,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",67.00,22.00,11.04,0.98,1.75,0.00,8.23,5.00,0.00,1787.00,809.00,59.00,106.00,0.00,813.00
2025,6,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",28.00,7.00,1.56,0.00,0.00,0.00,5.44,1.00,0.00,537.00,130.00,0.00,0.00,0.00,407.00
2025,6,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",256.00,65.00,21.09,1.82,13.05,0.00,29.04,9.00,2.00,5082.00,2082.00,257.00,688.00,0.00,2055.00
2025,6,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1784.00,423.00,101.74,13.11,63.52,0.00,244.63,47.00,0.00,41401.00,13829.00,1919.00,4446.00,0.00,21207.00
2025,6,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",114.00,31.00,7.97,4.08,5.94,0.00,13.01,4.00,1.00,2500.00,484.00,244.00,467.00,0.00,1305.00
2025,6,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",88.00,25.00,10.40,0.00,10.00,0.00,4.60,6.00,0.00,1698.00,914.00,0.00,426.00,0.00,358.00
2025,6,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",32.00,2.00,1.70,0.00,0.30,0.00,0.00,1.00,0.00,40.00,33.00,0.00,7.00,0.00,0.00
2025,6,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",84.00,21.00,3.38,1.90,5.17,0.00,10.54,2.00,1.00,1303.00,216.00,109.00,182.00,0.00,796.00
2025,6,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",25.00,8.00,3.01,0.00,1.22,0.00,3.76,0.00,0.00,601.00,304.00,0.00,33.00,0.00,264.00
2025,6,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",25.00,6.00,2.37,0.75,1.75,0.00,1.13,0.00,0.00,633.00,284.00,223.00,71.00,0.00,55.00
2025,6,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",53.00,8.00,3.21,1.00,0.21,0.00,3.58,1.00,0.00,522.00,202.00,25.00,19.00,0.00,276.00
2025,6,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",113.00,35.00,15.09,1.67,6.72,0.00,11.53,1.00,0.00,2310.00,1114.00,101.00,259.00,0.00,836.00
2025,6,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",125.00,37.00,13.20,0.00,6.33,0.00,17.48,8.00,0.00,2951.00,1122.00,0.00,408.00,0.00,1421.00
2025,6,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",116.00,34.00,9.05,0.00,7.41,0.00,17.54,10.00,1.00,2318.00,681.00,0.00,537.00,0.00,1100.00
2025,6,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",60.00,26.00,8.07,0.43,3.50,0.00,14.00,3.00,0.00,1600.00,381.00,49.00,223.00,0.00,947.00
2025,6,9E,Endeavor Air Inc.,HPN,"White Plains, NY: Westchester County",137.00,28.00,11.07,1.96,6.83,0.00,8.14,2.00,3.00,1965.00,523.00,302.00,390.00,0.00,750.00
